,song_name,artist,shazam_rank
0, Someone You Loved , Lewis Capaldi ,1
1, Memories , Maroon 5 ,2
2, Circles , Post Malone ,3
3, Ballin’ , Mustard Feat. Roddy Ricch ,4
4, Truth Hurts , Lizzo ,5
5, Time , NF ,6
6, On Chill , Wale Feat. Jeremih ,7
7, Only Human , Jonas Brothers ,8
8, Sharing The Night Together , Dr. Hook ,9
9, No Guidance , Chris Brown Feat. Drake ,10
10, Heat , Chris Brown Feat. Gunna ,11
11, Dance Monkey , Tones And I ,12
12, Trampoline , SHAED ,13
13, Lover , Taylor Swift ,14
14, Beautiful People , Ed Sheeran Feat. Khalid ,15
15, How Do You Sleep? , Sam Smith ,16
16, Leave Em Alone ," Layton Greene, Lil Baby & City Girls Feat. PnB Rock ",17
17, One Thing Right , Marshmello & Kane Brown ,18
18, Hot Shower , Chance The Rapper Feat. MadeinTYO & DaBaby ,19
19, Panini , Lil Nas X ,20
20," 10,000 Hours ", Dan + Shay & Justin Bieber ,21
21, Hot Girl Summer , Megan Thee Stallion Feat. Nicki Minaj & Ty Dolla $ign ,22
22, Highest In The Room , Travis Scott ,23
23, Goodbyes , Post Malone Feat. Young Thug ,24
24, Señorita , Shawn Mendes & Camila Cabello ,25
25, Good As Hell , Lizzo ,26
26, Baila Conmigo , Dayvi & Victor Cárdenas Feat. Kelly Ruiz ,27
27, Baby ," Quality Control, Lil Baby & DaBaby ",28
28, Hot , Young Thug Feat. Gunna ,29
29, Ransom , Lil Tecca ,30
30, Baby Sitter , DaBaby Feat. Offset ,31
31, Good Things Fall Apart , ILLENIUM & Jon Bellion ,32
32, I Don't Care , Ed Sheeran & Justin Bieber ,33
33, Cash Shit , Megan Thee Stallion Feat. DaBaby ,34
34, Liar , Camila Cabello ,35
35, Graveyard , Halsey ,36
36, Like That , Bea Miller ,37
37, My Type , Saweetie ,38
38, One Man Band , Old Dominion ,39
39, bad guy , Billie Eilish ,40
40, Writing On The Wall ," French Montana Feat. Post Malone, Cardi B & Rvssian ",41
41, Restroom Occupied , Yella Beezy Feat. Chris Brown ,42
42, Money In The Grave , Drake Feat. Rick Ross ,43
43, Right Back , Khalid Feat. A Boogie Wit Da Hoodie ,44
44, Even Though I'm Leaving , Luke Combs ,45
45, Yes ," Fat Joe, Cardi B & Anuel AA ",46
46, Bandit , Juice WRLD & YoungBoy Never Broke Again ,47
47, Us , James Bay ,48
48, Wish Wish , DJ Khaled Feat. Cardi B & 21 Savage ,49
49, Blackout , Freya Ridings ,50
50, Complicated , Olivia O'Brien ,51
51, What Am I , Why Don't We ,52
52, Playing Games , Summer Walker ,53
53, You Say , Lauren Daigle ,54
54, Suge , DaBaby ,55
55, Que Calor , Major Lazer Feat. J Balvin & El Alfa ,56
56, More Hearts Than Mine , Ingrid Andress ,57
57, RNP , YBN Cordae Feat. Anderson .Paak ,58
58, Prayed For You , Matt Stell ,59
59, Loco Contigo , DJ Snake Feat. J Balvin & Tyga ,60
60, 223's , YNW Melly Feat. 9lokknine ,61
61, Motivation , Normani ,62
62, Kinfolks , Sam Hunt ,63
63, Teeth , 5 Seconds Of Summer ,64
64, Talk , Khalid & Disclosure ,65
65, Higher Love , Kygo & Whitney Houston ,66
66, The Git Up , Blanco Brown ,67
67, Nice To Meet Ya (Live) , Niall Horan ,68
68, Take What You Want , Post Malone Feat. Ozzy Osbourne & Travis Scott ,69
69, Easy , DaniLeigh ,70
70, 3 Nights , Dominic Fike ,71
71, Uno , Ambjaay ,72
72, Someone To You , BANNERS ,73
73, China , Anuel AA & Daddy Yankee & Karol G Feat. Ozuna & J Balvin ,74
74, Light Me Up , Ingrid Michaelson ,75
75, I Don't Know About You , Chris Lane ,76
76, Enemies , Post Malone Feat. DaBaby ,77
77, Slide , H.E.R. Feat. YG ,78
78, That's Life , Frank Sinatra ,79
79, The London , Young Thug Feat. J. Cole & Travis Scott ,80
80, Show Me Love , Alicia Keys Feat. Miguel ,81
81, Static On The Radio , Jim White ,82
82, Bezerk , Big Sean Feat. A$AP Ferg & Hit-Boy ,83
83, La Canción , J Balvin & Bad Bunny ,84
84, The Vow , RuthAnne ,85
85, Hot Girl Bummer , blackbear ,86
86, The Bones , Maren Morris ,87
87, Lalala , Y2K & Bbno$ ,88
88, Juicy , Doja Cat ,89
89, Doin' Time , Lana Del Rey ,90
90, Pop Out , Polo G Feat. Lil Tjay ,91
91, Love Riddim , Rotimi ,92
92, Out Of Love , Alessia Cara ,93
93, Dancing With A Stranger , Sam Smith & Normani ,94
